16;23;3449796;2410013;10532903
16;24;3392310;2456108;10057564
16;25;3548537;2589365;10514884


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
17;1;3309704;2546553;10876172
17;2;3382783;2414413;9230363
17;3;3282526;2482718;10198782
17;4;3206454;2415461;9773240
17;5;3185913;2459182;10037938
17;6;3301885;2412178;9937437
17;7;3191296;2456667;11394395
17;8;3185813;2457854;10514744
17;9;3330529;2408966;11014109
17;10;3496267;2437810;11874344
17;11;3488556;2526508;10104008
17;12;3534518;2640140;9618541
17;13;3643525;2554165;9338268
17;14;3362730;2470286;10172172
17;15;3195444;2417765;10328826
17;16;3209717;2492146;10784471
17;17;3112542;2462883;9072592
17;18;3128325;2394159;9429830
17;19;3203953;2433759;10603233
17;20;3274665;2460299;10239779
17;21;3214504;2437810;9691456
17;22;3437924;2515823;10977443
17;23;3496373;2435086;11207499
17;24;3603776;2512051;10043106
17;25;3480371;2507651;11729424


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
18;1;3523243;2512120;11861145
18;2;3225490;2425168;10204020
18;3;3341159;2524902;8817951
18;4;3099699;2465048;8414407
18;5;3245306;2371530;11518922
18;6;3196757;2486140;12760351
18;7;3253434;2535588;11344389
18;8;3145149;2428800;9157379
18;9;3377979;2564152;10514045
18;10;3468033;2570438;10360884
18;11;3317339;2417347;9686776
18;12;3662361;2545506;14631818
18;13;3583372;2521480;9656186
18;14;3471305;2575607;9975500
18;15;3176112;2417207;8840649
18;16;3176786;2482788;9422426
18;17;3093021;2440883;9046681
18;18;3210462;2423213;10900548
18;19;3212234;2424190;13639792
18;20;3183630;2437601;9556662
18;21;3328160;2498083;10176224
18;22;3393123;2557169;10374293
18;23;3197535;2482368;10426954
18;24;3293457;2558775;9870249
18;25;3554035;2478947;12466528


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
19;1;3489405;2555352;9420332
19;2;3488185;2537683;10456566
19;3;3314647;2606895;9159684
19;4;3065994;2435016;11181240
19;5;3228727;2392063;10578090
19;6;3099061;2422585;10469976
19;7;3155652;2501156;10715748
19;8;3323264;2492565;11787741
19;9;3305373;2474337;9794680
19;10;3316851;2435155;8966084
19;11;3356823;2571696;8733652
19;12;3519810;2591321;10739563
19;13;3504574;2573651;8026300
19;14;3305947;2483975;9505818
19;15;3282412;2416089;9326814
19;16;3247505;2442629;10785379
19;17;3272912;2480692;11026891
19;18;3159881;2407290;10622719
19;19;3178545;2392413;8551367
19;20;3202015;2387594;12071716
19;21;3275200;2458762;11006636
19;22;3405202;2444515;10244878
19;23;3690973;2613041;10864160
19;24;3356969;2543968;10095627
19;25;3671531;2611435;10347753


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
20;1;3638493;2570299;9383735
20;2;3533333;2789530;11051544
20;3;3362101;2537194;8893099
20;4;3176949;2474407;9473341
20;5;3277594;2485092;12816853
20;6;3212917;2478667;10884205
20;7;3215258;2431106;9780992
20;8;3249217;2452756;10394687
20;9;3342575;2542642;10936376
20;10;3332275;2437880;9454275
20;11;3543865;2489074;13190085
20;12;3678626;2597816;12008719
20;13;3476829;2596419;10205347
20;14;3657302;2598235;11149951
20;15;3474876;2388641;13266770
20;16;3378140;2466375;10735653
20;17;3219089;2514705;8925576
20;18;3249350;2519105;10885252
20;19;3232703;2438299;10745430
20;20;3274010;2473988;9124205
20;21;3266612;2486699;10434287
20;22;3239106;2433410;10451329
20;23;3479878;2447099;11309748
20;24;3708798;2671708;11828459
20;25;3445224;2524902;8901760


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
21;1;3608775;2472172;9477951
21;2;3568096;2474825;12003411
21;3;3420875;2490749;11599239
21;4;3335141;2508978;10084662
21;5;3364221;2452896;10454611
21;6;3245781;2459880;10855989
21;7;3195805;2446330;10778256
21;8;3144198;2465188;10243411
21;9;3161877;2452896;8747201
21;10;3590662;2450032;19383260
21;11;3431431;2502832;10350757
21;12;3365134;2451848;10542960
21;13;3631803;2603194;10047297
21;14;3650047;2558845;11054547
21;15;3544069;2608152;10229722
21;16;3478279;2447937;10157087
21;17;3328869;2502273;8904344
21;18;3144788;2458553;10491696
21;19;3240180;2434387;10342656
21;20;3145842;2417556;10626351
21;21;3401185;2442908;10253538
21;22;3226657;2502274;10520471
21;23;3360146;2451359;10793062
21;24;3474125;2445772;8561563
21;25;3668481;2598933;12315183


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
22;1;3420298;2479784;10005671
22;2;3698927;2519245;10980376
22;3;3483542;2488235;10268204
22;4;3400112;2504788;12343608
22;5;3440079;2449263;12625347
22;6;3373116;2506674;11224192
22;7;3334154;2527696;11174953
22;8;3171717;2448915;10839995
22;9;3220040;2450801;9751309
22;10;3348293;2476781;10968084
22;11;3318447;2504579;8992973
22;12;3472574;2483625;12311062
22;13;3732192;2544178;13969164
22;14;3784679;2488725;11579615
22;15;3473142;2556261;10503570
22;16;3371254;2453524;10587379
22;17;3399506;2466445;9523208
22;18;3243857;2401841;12335786
22;19;3226866;2415321;10003995
22;20;3308267;2376489;9935620
22;21;3351886;2513029;10590941
22;22;3406002;2490959;13962948
22;23;3232673;2513937;10606027
22;24;3436661;2455759;10709810
22;25;3783955;2516172;17705323


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
23;1;3477672;2535238;9961601
23;2;3415364;2584476;8128616
23;3;3665436;2488166;8850706
23;4;3598562;2433271;10521728
23;5;3389092;2524413;10720915
23;6;3371975;2416159;11348230
23;7;3185646;2467282;11362408
23;8;3249592;2505277;10481640
23;9;3230363;2449264;9574122
23;10;3213011;2456597;11200306
23;11;3329225;2422654;10057633
23;12;3423408;2479784;10418014
23;13;3649692;2416089;14646415
23;14;3657295;2586432;12574014
23;15;3817875;2655296;9865220
23;16;3513147;2511423;10764636
23;17;3535102;2511771;9579290
23;18;3235124;2488654;11054407
23;19;3407404;2517010;11066979
23;20;3371693;2468121;11382173
23;21;3287525;2495848;9344623
23;22;3323213;2412457;13087906
23;23;3347292;2553118;9954617
23;24;3250388;2495289;9505957
23;25;3483928;2558845;10238801


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
24;1;3807996;2448495;12944662
24;2;3736593;2569321;13565271
24;3;3501021;2526997;12033373
24;4;3610635;2484115;10182788
24;5;3391351;2412667;11481208
24;6;3290996;2443537;12400877
24;7;3080479;2440115;9138383
24;8;3273904;2470566;10196548
24;9;3193939;2460439;8847004
24;10;3387755;2491378;9764020
24;11;3403245;2548717;10424649
24;12;3381454;2522667;10846700
24;13;3440381;2417486;11020814
24;14;3447861;2533283;10937354
24;15;4064334;2606267;16306193
24;16;3752630;2498223;8799931
24;17;3329233;2447238;12252814
24;18;3305830;2413575;9244750
24;19;3469083;2506254;12369310
24;20;3364278;2600819;11320503
24;21;3300854;2478807;14790567
24;22;3372569;2421747;11910942
24;23;3264763;2577982;9787766
24;24;3442248;2550185;12077024
24;25;3508972;2536425;9375982


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
